metric_name,month,day_of_month,avg_precip_mtd,min_precip_mtd,max_precip_mtd,p10_precip_mtd,p25_precip_mtd,p50_precip_mtd,p75_precip_mtd,p90_precip_mtd
precip,Jun,20,0.7933333333333333,0.0,3.71,0.0,0.09,0.62,1.2000000000000002,1.658
precip,Jun,21,0.8083333333333333,0.0,3.71,0.0,0.15749999999999997,0.62,1.2000000000000002,1.658
precip,Jun,22,0.8083333333333333,0.0,3.71,0.0,0.15749999999999997,0.62,1.2000000000000002,1.658
precip,Jun,23,0.8313333333333334,0.0,3.81,0.0,0.1975,0.6799999999999999,1.2000000000000002,1.658
precip,Jun,24,0.8403333333333334,0.0,3.81,0.04500000000000002,0.1975,0.685,1.2025000000000001,1.658
precip,Jun,25,0.8413333333333334,0.0,3.83,0.04500000000000002,0.1975,0.685,1.2025000000000001,1.658
precip,Jun,26,0.8713333333333334,0.0,3.84,0.04500000000000002,0.1975,0.735,1.2225000000000001,1.658
precip,Jun,27,0.8743333333333333,0.0,3.84,0.06800000000000002,0.1975,0.735,1.2225000000000001,1.658
precip,Jun,28,0.8766666666666667,0.0,3.84,0.06800000000000002,0.1975,0.735,1.2225000000000001,1.703
precip,Jun,29,0.888,0.0,3.84,0.06800000000000002,0.1975,0.735,1.2225000000000001,1.74
precip,Jun,30,0.901,0.0,3.84,0.08600000000000001,0.265,0.735,1.2225000000000001,1.747
precip,Jul,1,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0
precip,Jul,2,0.004,0.0,0.89,0.0,0.0,0.0,0.0,0.0
precip,Jul,3,0.007000000000000001,0.0,0.9400000000000001,0.0,0.0,0.0,0.0,0.0010000000000000143
precip,Jul,4,0.032,0.0,0.9400000000000001,0.0,0.0,0.0,0.0075,0.06500000000000007
precip,Jul,5,0.04933333333333333,0.0,0.9400000000000001,0.0,0.0,0.0,0.025,0.11400000000000006
precip,Jul,6,0.057666666666666665,0.0,0.9400000000000001,0.0,0.0,0.0,0.0375,0.15000000000000002
precip,Jul,7,0.059333333333333335,0.0,0.9900000000000001,0.0,0.0,0.0,0.0475,0.15000000000000002
precip,Jul,8,0.09033333333333333,0.0,1.2600000000000002,0.0,0.0,0.0,0.0475,0.16400000000000023
precip,Jul,9,0.119,0.0,1.2600000000000002,0.0,0.0,0.005,0.095,0.3330000000000006
precip,Jul,10,0.137,0.0,1.2600000000000002,0.0,0.0,0.015,0.14,0.45100000000000046
precip,Jul,11,0.151,0.0,1.2600000000000002,0.0,0.0,0.02,0.14,0.46000000000000063
precip,Jul,12,0.169,0.0,1.2600000000000002,0.0,0.0,0.02,0.15750000000000003,0.49600000000000055
precip,Jul,13,0.17366666666666666,0.0,1.2600000000000002,0.0,0.0,0.025,0.15750000000000003,0.5060000000000007
precip,Jul,14,0.17466666666666666,0.0,1.2600000000000002,0.0,0.0,0.03,0.15750000000000003,0.5060000000000007
