metric_name,month,day_of_month,avg_precip_mtd,min_precip_mtd,max_precip_mtd,p10_precip_mtd,p25_precip_mtd,p50_precip_mtd,p75_precip_mtd,p90_precip_mtd
rain,Apr,9,0.5151666666666667,0.0,2.24,0.0,0.080625,0.2862499999999999,0.9500000000000001,1.2077500000000003
rain,Apr,10,0.5317500000000001,0.0,2.24,0.02700000000000001,0.09374999999999997,0.2862499999999999,0.9500000000000001,1.2797500000000002
rain,Apr,11,0.5474166666666667,0.0,2.3200000000000003,0.02700000000000001,0.13812499999999991,0.3012499999999999,0.9500000000000001,1.3297500000000004
rain,Apr,12,0.63125,0.0,2.6875000000000004,0.028000000000000008,0.18,0.55625,0.9625000000000001,1.3365000000000005
rain,Apr,13,0.6665,0.0,2.7200000000000006,0.03900000000000001,0.18,0.63375,1.015625,1.4405000000000006
rain,Apr,14,0.7623333333333334,0.0,2.7200000000000006,0.08949999999999993,0.2425,0.7937500000000001,1.0931250000000001,1.5877500000000004
rain,Apr,15,0.84925,0.0,2.7200000000000006,0.1242499999999999,0.31125,0.81375,1.0931250000000001,1.8325
rain,Apr,16,0.8864166666666667,0.0,2.9700000000000006,0.20175,0.320625,0.81375,1.0931250000000001,1.8425
rain,Apr,17,0.9521666666666667,0.0,3.0500000000000007,0.208,0.320625,0.93375,1.3418750000000002,1.8425
rain,Apr,18,1.0770833333333334,0.0,3.0500000000000007,0.24700000000000003,0.493125,1.0074999999999998,1.605625,1.8967500000000008
rain,Apr,19,1.12475,0.0025,3.0500000000000007,0.24700000000000003,0.516875,1.03125,1.671875,1.8967500000000008
rain,Apr,20,1.18075,0.0025,3.0500000000000007,0.256,0.516875,1.06,1.673125,2.096000000000001
rain,Apr,21,1.2660833333333334,0.0025,3.0500000000000007,0.25975,0.595,1.29875,1.80375,2.167000000000001
rain,Apr,22,1.2884166666666668,0.0025,3.0500000000000007,0.3207499999999999,0.6100000000000001,1.30375,1.80375,2.216500000000001
rain,Apr,23,1.3294166666666667,0.1225,3.170000000000001,0.485,0.73375,1.32,1.80375,2.216500000000001
rain,Apr,24,1.4156666666666666,0.1225,3.170000000000001,0.5569999999999999,0.928125,1.34875,1.87125,2.311750000000001
rain,Apr,25,1.52025,0.1225,3.787500000000001,0.7140000000000002,1.03625,1.3937500000000003,1.96,2.74675
rain,Apr,26,1.60475,0.1225,3.787500000000001,0.739,1.1993749999999999,1.47375,2.074375,2.7620000000000005
rain,Apr,27,1.6704166666666669,0.1225,3.787500000000001,0.739,1.1993749999999999,1.56125,2.2106250000000003,2.7667500000000005
rain,Apr,28,1.75025,0.1225,3.7975000000000008,0.739,1.1993749999999999,1.6262500000000002,2.3606249999999998,2.9707500000000002
rain,Apr,29,1.78725,0.1225,3.937500000000001,0.7580000000000001,1.204375,1.6725,2.365625,3.0475
rain,Apr,30,1.8519166666666667,0.1225,3.937500000000001,0.7590000000000001,1.28875,1.75375,2.365625,3.08375
rain,May,1,0.032,0.0,0.57,0.0,0.0,0.0,0.015,0.17400000000000007
rain,May,2,0.094,0.0,0.76,0.0,0.0,0.0,0.1325,0.2610000000000003
rain,May,3,0.18366666666666667,0.0,1.35,0.0,0.0,0.005,0.24000000000000002,0.5020000000000002
rain,May,4,0.24041666666666667,0.0,1.4200000000000002,0.0,0.0,0.015,0.305,0.861
rain,May,5,0.2564166666666667,0.0,1.6125,0.0,0.0,0.02,0.33499999999999996,0.861
rain,May,6,0.32708333333333334,0.0,2.6025,0.0,0.0,0.08,0.34750000000000003,0.8780000000000001
rain,May,7,0.38375000000000004,0.0,2.7225,0.0,0.0125,0.21999999999999997,0.365,1.0080000000000005
rain,May,8,0.45758333333333334,0.0,3.3475,0.0,0.0375,0.28500000000000003,0.5225,1.0310000000000004
rain,May,9,0.5712499999999999,0.0,3.3475,0.0,0.1075,0.31,0.855,1.4620000000000002
rain,May,10,0.6309166666666667,0.0,3.3475,0.0,0.11499999999999999,0.405,0.875,1.5800000000000003
rain,May,11,0.6945,0.0,3.3475,0.01800000000000001,0.13249999999999998,0.405,0.9425,1.5890000000000002
rain,May,12,0.7398333333333333,0.0,3.3475,0.01800000000000001,0.13249999999999998,0.45,0.95,1.7720000000000002
rain,May,13,0.7761666666666667,0.0,3.3475,0.01800000000000001,0.13249999999999998,0.5487500000000001,0.95,1.9360000000000002
rain,May,14,0.8041666666666667,0.0,3.3475,0.01800000000000001,0.13249999999999998,0.64375,0.95,2.001
rain,May,15,0.8351666666666666,0.0,3.3475,0.02,0.13249999999999998,0.685,0.95,2.021
rain,May,16,0.9091666666666668,0.0,3.3875,0.04800000000000001,0.2675,0.685,0.9525,2.3240000000000003
rain,May,17,0.9874166666666667,0.0,3.3875,0.10400000000000001,0.359375,0.75,1.24,2.3460000000000005
rain,May,18,1.0660833333333335,0.0,3.3875,0.10400000000000001,0.4325,0.825,1.5750000000000002,2.3460000000000005
rain,May,19,1.10575,0.0,3.52,0.10400000000000001,0.4325,0.8400000000000001,1.6124999999999998,2.3460000000000005
rain,May,20,1.1280833333333333,0.05,3.53,0.11000000000000001,0.4325,0.865,1.6124999999999998,2.5850000000000004
rain,May,21,1.2580833333333332,0.07,3.6975000000000002,0.20900000000000007,0.5700000000000001,0.935,1.9525000000000001,2.5850000000000004
rain,May,22,1.3224166666666666,0.09,3.7775000000000003,0.32800000000000007,0.576875,0.935,2.0225,2.612000000000001
rain,May,23,1.3744166666666666,0.09,3.7775000000000003,0.38200000000000006,0.576875,1.0,2.185,2.746
rain,May,24,1.4755833333333332,0.09,3.8699999999999997,0.436,0.605625,1.05375,2.2950000000000004,3.0580000000000007
rain,May,25,1.52325,0.14,3.9074999999999998,0.436,0.605625,1.2,2.3275,3.229
rain,May,26,1.5715833333333333,0.14,4.4975,0.436,0.65,1.2,2.3275,3.5000000000000004
rain,May,27,1.6199166666666664,0.14,4.6975,0.47200000000000003,0.66,1.25,2.3275,3.5090000000000003
rain,May,28,1.70925,0.14,4.6975,0.561,0.8375,1.305,2.3275,3.68975
rain,May,29,1.7539166666666666,0.14,4.710000000000001,0.561,0.965,1.335,2.5075000000000003,3.68975
rain,May,30,1.8025833333333334,0.14,5.140000000000001,0.561,0.965,1.3399999999999999,2.68,3.7707499999999996
rain,May,31,1.8105833333333332,0.14,5.140000000000001,0.561,0.965,1.3399999999999999,2.7175,3.77775
rain,Jun,1,0.025666666666666667,0.0,0.25,0.0,0.0,0.0,0.0075,0.05800000000000012
rain,Jun,2,0.09266666666666666,0.0,1.0699999999999998,0.0,0.0,0.0,0.1025,0.27900000000000014
rain,Jun,3,0.098,0.0,1.0699999999999998,0.0,0.0,0.0,0.11249999999999999,0.28600000000000025
rain,Jun,4,0.13466666666666666,0.0,1.0699999999999998,0.0,0.0,0.0,0.1475,0.4370000000000001
rain,Jun,5,0.17633333333333334,0.0,1.0699999999999998,0.0,0.0,0.0,0.1475,0.663
rain,Jun,6,0.27099999999999996,0.0,1.0699999999999998,0.0,0.0,0.08,0.5375000000000001,0.7470000000000001
rain,Jun,7,0.312,0.0,1.46,0.0,0.0,0.09,0.7075,0.8420000000000004
rain,Jun,8,0.3463333333333333,0.0,1.48,0.0,0.0,0.11499999999999999,0.78,0.9530000000000002
rain,Jun,9,0.391,0.0,1.64,0.0,0.0,0.115,0.78,1.075
rain,Jun,10,0.47200000000000003,0.0,1.74,0.0,0.0,0.27,0.8150000000000001,1.161
rain,Jun,11,0.5223333333333333,0.0,1.74,0.0,0.0,0.42000000000000004,0.8150000000000001,1.382
rain,Jun,12,0.5616666666666668,0.0,1.74,0.0,0.005,0.5900000000000001,0.91,1.382
rain,Jun,13,0.6226666666666667,0.0,2.01,0.0,0.005,0.62,1.0374999999999999,1.455
rain,Jun,14,0.6503333333333333,0.0,2.01,0.0,0.065,0.62,1.0374999999999999,1.568
rain,Jun,15,0.6546666666666667,0.0,2.01,0.0,0.065,0.685,1.0374999999999999,1.568
rain,Jun,16,0.6823333333333333,0.0,2.23,0.0,0.10250000000000001,0.685,1.1,1.568
rain,Jun,17,0.7796666666666667,0.0,3.71,0.0,0.12,0.685,1.1,1.641
rain,Jun,18,0.7906666666666666,0.0,3.71,0.0,0.12,0.685,1.1,1.658
rain,Jun,19,0.8276666666666668,0.0,3.71,0.0,0.13499999999999998,0.735,1.2000000000000002,1.658
rain,Jun,20,0.8416666666666667,0.0,3.71,0.0,0.15749999999999997,0.735,1.2000000000000002,1.658
rain,Jun,21,0.847,0.0,3.71,0.0,0.15749999999999997,0.735,1.2000000000000002,1.658
rain,Jun,22,0.8496666666666667,0.0,3.71,0.0,0.15749999999999997,0.735,1.2075000000000002,1.658
rain,Jun,23,0.8723333333333334,0.0,3.81,0.0,0.1975,0.735,1.2075000000000002,1.658
rain,Jun,24,0.8796666666666667,0.0,3.81,0.0,0.1975,0.775,1.2075000000000002,1.658
